am,country,course,player_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,USA,n/a,17536,n/a,0,0,n/a,0,USA,39324,"Spaun, J.J.",,,,,0,0,n/a,0,5
0,USA,n/a,14636,n/a,0,0,n/a,0,USA,34046,"Spieth, Jordan",,,,,0,0,n/a,0,5
0,USA,n/a,25569,n/a,0,0,n/a,0,USA,55893,"Stevens, Sam",,,,,0,0,n/a,0,5
0,AUT,n/a,17511,n/a,0,0,n/a,0,AUT,49960,"Straka, Sepp",,,,,0,0,n/a,0,5
0,CAN,n/a,13126,n/a,0,0,n/a,0,CAN,25493,"Taylor, Nick",,,,,0,0,n/a,0,5
0,USA,n/a,23014,n/a,0,0,n/a,0,USA,51634,"Theegala, Sahith",,,,,0,0,n/a,0,5
0,USA,n/a,26649,n/a,0,0,n/a,0,USA,57364,"Thorbjornsen, Michael",,,,,0,0,n/a,0,5
0,FIN,n/a,23816,n/a,0,0,n/a,0,FIN,52666,"Valimaki, Sami",,,,,0,0,n/a,0,5
0,VEN,n/a,13508,n/a,0,0,n/a,0,VEN,27064,"Vegas, Jhonattan",,,,,0,0,n/a,0,5
0,USA,n/a,26651,n/a,0,0,n/a,0,USA,57366,"Young, Cameron",,,,,0,0,n/a,0,5
0,TPE,n/a,17881,n/a,0,0,n/a,0,TPE,45242,"Yu, Kevin",,,,,0,0,n/a,0,5
