rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime
125,"Paul, Yannik",0.04,0.9,27.9,08:06,13:16
126,"Siem, Marcel",0.04,1.3,29.9,07:55,13:05
127,"Johnston, Ryggs",0.03,1.0,27.8,13:39,08:39
128,"Sharma, Shubhankar",0.03,1.1,27.9,08:39,13:49
129,"Syme, Connor",0.03,0.8,25.8,12:22,07:22
130,"Larrazabal, Pablo",0.03,0.8,25.7,13:39,08:39
131,"Micheluzzi, David",0.02,0.7,25.4,12:00,07:00
132,"Naidoo, Dylan",0.02,0.5,22.4,13:17,08:17
133,"Follet-Smith, Benjamin",0.01,0.4,19.7,12:44,07:44
134,"Williams, Robin",0.01,0.7,25.0,12:55,07:55
135,"Kieffer, Max",0.01,0.4,21.0,08:06,13:16
136,"Forsstrom, Simon",0.01,0.3,17.8,14:01,09:01
137,"Gavins, Daniel",0.0,0.0,3.8,07:55,13:05
138,"Green, Gavin",0.0,0.0,7.4,08:50,14:00
