am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,event_id
0,ESP,12988,183.0,121.0,"Elvira Mijares, Ignacio",36078,150,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 08:25', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 12:30', 'wave': 'late'}]",11,2026112
0,ESP,26008,305.0,282.0,"Elvira, Manuel",43327,66,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:07', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:42', 'wave': 'early'}]",64,2026112
0,ENG,9396,,,"Fisher, Ross",32435,83,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:36', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:41', 'wave': 'late'}]",136,2026112
0,SCO,16475,144.0,162.0,"Forrest, Grant",38956,248,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:14', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:19', 'wave': 'late'}]",37,2026112
0,RSA,11955,401.0,438.0,"Frittelli, Dylan",35166,103,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:40', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 08:15', 'wave': 'early'}]",54,2026112
0,ESP,12258,461.0,409.0,"Garcia Rodriguez, Sebastian",35358,78,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 11:35', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:20', 'wave': 'early'}]",102,2026112
0,SUI,15592,347.0,285.0,"Girrbach, Joel",38258,69,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 08:14', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 12:19', 'wave': 'late'}]",83,2026112
0,FRA,28239,298.0,301.0,"Guillamoundeguy, Oihan",101450,109,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:19', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:04', 'wave': 'early'}]",85,2026112
0,USA,23892,,,"Gumberg, Jordan",42832,94,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:41', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:26', 'wave': 'early'}]",122,2026112
0,HKG,13568,,,"Hak, Shunyat",36630,22,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 08:25', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 12:30', 'wave': 'late'}]",,2026112
0,NOR,17747,321.0,361.0,"Halvorsen, Andreas",39513,102,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 07:52', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 11:57', 'wave': 'late'}]",61,2026112
